query_id,query,nDCG_finetuned,nDCG_bm25,nDCG_congelado,mejor_baseline,delta_vs_mejor_baseline,n_tokens_consulta,rareza_vocabulario,cobertura_lexica,n_candidatos,n_relevantes,grupo
4,"""vitamina c""",1.0,0.88995411685096,1.0,1.0,0.0,2,5.098854740914155,1.0,40,34,empata
130,'el verano sin hombres',1.0,1.0,1.0,1.0,0.0,4,3.764364719225406,1.0,40,1,empata
155,'suavizante sin olor',0.7653606369886217,0.5307212739772434,0.0,0.5307212739772434,0.23463936301137822,3,5.822179252067715,0.3333333333333333,40,3,mejora
210,+3 dioptrias lente sin montar,0.3333333333333333,0.38685280723454163,0.3333333333333333,0.38685280723454163,-0.053519473901208314,5,5.625647866065488,0.0,8,1,empeora
232,", almohadilla sin tinta para sellos",0.841492960259019,0.07336392209936006,0.5769706247040592,0.5769706247040592,0.26452233555495974,5,4.728666655322694,1.0,40,13,mejora
237,", champú sin sal salerm",0.13886244387355456,0.23177307466786257,0.5779050396291793,0.5779050396291793,-0.4390425957556247,4,5.803541529101169,1.0,40,11,empeora
245,", mascarilla infantil ffp2 sin grafeno",0.7162874455029682,0.7569021067152311,0.5577804057619871,0.7569021067152311,-0.04061466121226287,5,5.757680756724268,0.8,39,20,empeora
248,", punta de acero, botas sin cordones",0.2658200052773918,0.4378043742107727,0.38414982660706115,0.4378043742107727,-0.17198436893338087,6,3.8546372641816173,1.0,39,9,empeora
260,",metal anillo para el pelo sin goma",0.1909208661789347,0.21252302622743088,0.13032376591037065,0.21252302622743088,-0.02160216004849619,7,3.742258745796163,1.0,39,6,empeora
266,",vestido acanalado delgado sin mangas",1.0,1.0,0.8643145546088339,1.0,0.0,5,5.740691305883996,1.0,40,37,empata
270,- butaca de diseño de terciopelo sin reposabrazos,0.727329844310522,0.349966777951421,0.6403089930936582,0.6403089930936582,0.08702085121686376,7,4.156924484601178,1.0,40,12,mejora
369,.bolitas sin gluten,0.9363792118010483,0.9363792118010483,1.0,1.0,-0.06362078819895167,3,5.447234090811977,1.0,40,27,empeora
375,.hidratante cara sin perfume,0.8486026589039901,0.7877736340270853,0.92663607790064,0.92663607790064,-0.07803341899664984,4,4.950517583350346,1.0,40,24,empeora
425,0.1mm wire sin esmalte,0.46047467141697834,0.44562607775993796,0.6564116633996523,0.6564116633996523,-0.19593699198267395,5,5.669243981548638,0.6,23,8,empeora
592,0lanchas sin cable,0.43707943365237834,0.17342765698823948,0.27487633291429087,0.27487633291429087,0.16220310073808747,3,5.539746631938647,0.6666666666666666,36,7,mejora
672,1 año sin insectos,0.4412576003965278,0.44615333764087994,0.21398626473452756,0.44615333764087994,-0.004895737244352161,4,4.579021130072818,1.0,35,5,empeora
